,item_skey,item_number,item_description,item_category
554,10357,1708730,Valrubicin (100 mg),Active Pharmaceutical Ingredients
555,12581,1708751,Valrubicin Resolution Mixture (25 mg) (valrubicin spiked with seven related substances),System Suitability
556,12161,1711155,Vecuronium Bromide (50 mg),Active Pharmaceutical Ingredients
557,14409,1686310,Trifluridine Related Compound A (10 mg) (5-Carboxy-2'-deoxyuridine),Impurity
558,6930,1344509,Iodoquinol (100 mg),Active Pharmaceutical Ingredients
559,12545,1478811,"Orlistat Related Compound A (25 mg) ((3S,4S)-3-Hexyl-4-[(2R)-2-hydroxytridecyl]-2-oxetanone)",Impurity
560,13132,1478800,Orlistat (200 mg) (COLD SHIPMENT REQUIRED),Active Pharmaceutical Ingredients
561,12548,1478844,"Orlistat Related Compound D (10 mg) (N-formyl-L-leucine (3S,4R,6S)-3-hexyl-2-oxo-6-undecyltetrahydro-2H-pyran-4-yl ester)",Impurity
562,68441,1600212,Regorafenib Related Compound A (15 mg) (4-(4-Amino-3-fluorophenoxy)-N-methylpicolinamide),Impurity
563,67664,1600201,Regorafenib (200 mg),Active Pharmaceutical Ingredients
564,13616,1279837,Fluoxetine Related Compound C (15 mg) (4-(methyl{3-phenyl-3-[4-(trifluoromethyl)phenoxy]propyl}amino)-4-oxobutanoic acid),Impurity
565,15942,1609590,"Salmeterol System Suitability (15 mg) (Mixture containing salmeterol xinafoate, salmeterol-N-alkyl and salmeterol related compound H)",System Suitability
566,8968,1565009,Procarbazine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
567,65726,1249803,Esomeprazole Strontium (20 mg),Active Pharmaceutical Ingredients
568,1469,1134211,Cladribine Related Compound A (20 mg) (2-methoxy-2'-deoxyadenosine),Impurity
569,14333,1494239,"Pancuronium Bromide Related Compound B (15 mg) (1,1'-(17beta-Acetoxy-3alpha-hydroxy-5alpha-androstan-2beta,16beta-ylene) bis(1-methylpiperidinium) dibromide)",Impurity
570,70005,1269045,[N-Acetyl-His1]-Exenatide (1 mg),Product Specific Reference Standard
571,65630,1268998,[Glu13]-Exenatide (1 mg),Product Specific Reference Standard
572,75535,1268739,Etodolac Related Compound D,Impurity
573,76204,1268717,Etodolac Related Compound B,Impurity
574,10244,1560990,Prilocaine (200 mg) (COLD SHIPMENT REQUIRED),Active Pharmaceutical Ingredients
575,11319,1021703,Nitrofurantoin Related Compound A (20 mg) (N-(Aminocarbonyl)-N-[([5-nitro-2-furanyl]-methylene)-amino]-glycine),Impurity
576,8224,1044516,Atorvastatin Calcium (100 mg),Active Pharmaceutical Ingredients
577,10770,1441287,Metoprolol Fumarate (200 mg),Active Pharmaceutical Ingredients
578,15340,1029534,"Amlodipine Related Compound C (25 mg) (Dimethyl 4-(2-chlorophenyl)-2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate)",Impurity
579,10515,1672206,Topiramate (150 mg),Active Pharmaceutical Ingredients
580,6300,1286504,Fructose (125 mg),Excipients
581,16600,1631533,Sulfamethoxazole Related Compound C (15 mg) (5-methylisoxazol-3-amine),Impurity
582,14218,1396309,Metformin Hydrochloride (200 mg),Active Pharmaceutical Ingredients
583,6732,1356654,Labetalol Hydrochloride (200 mg),Active Pharmaceutical Ingredients
584,1741,1548190,Potassium Chloride (1 g),Impurity
585,2006,1090728,Capecitabine Related Compound B (20 mg) (5'-deoxy-5-fluorouridine),Impurity
586,2005,1090717,Capecitabine Related Compound A (15 mg) (5'-deoxy-5-fluorocytidine),Impurity
587,14681,1121005,Chlorothiazide (200 mg),Active Pharmaceutical Ingredients
588,7290,1271722,"Fluconazole Related Compound B (10 mg) (2-(4-fluorophenyl)-1,3-bis(1H-1,2,4-triazol-1-yl)-propan-2-ol)",Impurity
589,14251,1171706,Desacetyl Diltiazem Hydrochloride (50 mg),Impurity
590,17494,1379365,Melphalan Related Compound J,Impurity
591,6675,1379300,Melphalan Hydrochloride (200 mg),Active Pharmaceutical Ingredients
592,13802,1112423,Indomethacin Related Compound B (25 mg) (4-chlorobenzoic acid),Impurity
593,75895,1173519,"Desoximetasone Related Compound A (25 mg) (9-Fluoro-11Beta,21-dihydroxy-16Alpha-methylpregna-4-ene-3,20-dione)",Impurity
594,97856,1078551,Buspirone N-Oxide,Impurity
595,97847,1075897,Bispyrimidinylpiperazinylbutyl Ether,Impurity
596,7150,1224981,Donepezil Hydrochloride (200 mg),Active Pharmaceutical Ingredients
597,6307,1319002,Hydrocortisone Hemisuccinate (200 mg),Active Pharmaceutical Ingredients
598,9952,1535020,"Phenytoin Related Compound B (50 mg) (2,2-Diphenyl-2-ureidoacetic acid)",Impurity
599,14482,1181302,Dextrose (500 mg),Excipients
600,10708,1555005,Prednisolone (200 mg),Active Pharmaceutical Ingredients
601,4737,1379434,"Meloxicam Related Compound C (30 mg) (Isopropyl 4-hydroxy-2-methyl-2H-1,2-benzothiazine-3-carboxylate-1,1-dioxide)",Impurity
602,16054,1013035,"Allopurinol Related Compound C (25 mg) (5-(4H-1,2,4-triazol-4-yl)-1H-pyrazole-4-carboxamide)",Impurity
603,76472,1191011,"Dicyclomine Related Compound A (40 mg) ([1,1'-Bi(cyclohexane)]-1-carboxylic acid)",Impurity
604,8584,1012123,Adenosine (200 mg),Active Pharmaceutical Ingredients
605,11111,1619017,"Spironolactone Related Compound A (100 mg) ((2'R)-3',4'-Dihydro-5'H-spiro[androst-4,6-diene-17,2'-furan]-3,5'-dione)",Impurity
606,6737,1370305,Lorazepam CIV (200 mg),Active Pharmaceutical Ingredients
607,6693,1078766,Bupropion Hydrochloride Related Compound C (40 mg) (1-(3-chlorophenyl)-2-hydroxypropan-1-one) (COLD SHIPMENT REQUIRED),Impurity
608,10094,1478629,"Ondansetron Related Compound D (30 mg) (1,2,3,9-Tetrahydro-9-methyl-3-methylene-4H-carbazol-4-one)",Impurity
609,12395,1000496,Abacavir Stereoisomers Mixture (15 mg),Impurity
610,16223,1000408,Abacavir Sulfate (200 mg),Active Pharmaceutical Ingredients
611,11669,1278302,Fluoroquinolonic Acid (150 mg),Impurity
612,1729,1478516,"Omeprazole Related Compound A (15 mg) (5-methoxy-2-[[(4-methoxy-3,5-dimethylpyridin-2-yl)methyl]sulfonyl]-1H-benzimidazole)",Impurity
613,11234,1676000,Triamcinolone (250 mg),Active Pharmaceutical Ingredients
614,6738,1276001,Fluocinonide (200 mg),Active Pharmaceutical Ingredients
615,2269,1134277,"Citalopram Related Compound D (15 mg) (1-(4-Fluorophenyl)-1-(3-methylaminopropyl)-1,3-dihydroisobenzofuran-5-carbonitrile hydrochloride)",Impurity
616,14612,1137005,Clindamycin Palmitate Hydrochloride (500 mg),Active Pharmaceutical Ingredients
617,79977,1138019,Clindamycin Phosphate System Suitability (30 mg),System Suitability
618,6687,1303013,"Haloperidol Related Compound A (10 mg) (4,4'-Bis[4-(p-chlorophenyl)-4-hydroxypiperidino]-butyrophenone)",Impurity
619,6440,1642813,Tacrolimus Related Compound A (15 mg) (See USP Certificate for full Chemical Name),Impurity
620,6333,1292609,Glipizide Related Compound A (25 mg) (N-{2-[(4-aminosulfonyl)phenyl]ethyl}-5-methyl-pyrazinecarboxamide),Impurity
621,10550,1468501,Norepinephrine Bitartrate (125 mg),Active Pharmaceutical Ingredients
622,12265,1042907,Articaine (40 mg),Active Pharmaceutical Ingredients
623,12619,1643496,Terbinafine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
624,13769,1027380,"Amiodarone Related Compound H (20 mg) (2-chloro-N,N-diethylethanamine hydrochloride)",Impurity
625,2800,1362103,Levofloxacin (200 mg),Active Pharmaceutical Ingredients
626,10831,1538902,Pilocarpine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
627,9758,1538505,Pilocarpine (300 mg),Active Pharmaceutical Ingredients
628,11403,1219008,Diphenoxylate Hydrochloride CII (200 mg),Active Pharmaceutical Ingredients
629,13043,1042634,Aripiprazole (200 mg),Active Pharmaceutical Ingredients
630,17576,1042690,"Aripiprazole Related Compound G (25 mg) (7-{4-[4-(2,3-dichlorophenyl)piperazin-1-yl]butoxy}quinolin-2(1H)-one)",Impurity
631,35649,1087869,Candesartan Cilexetil Related Compound F (10 mg) (1-(Cyclohexyloxycarbonyloxy)ethyl 2-ethoxy-1-{[2'-(2-ethyl-2H-tetrazol-5-yl)biphenyl-4-yl]methyl}-1H-benzimidazole-7-carboxylate),Impurity
632,17241,1096597,Carisoprodol Related Compound A (10 mg) (2-hydroxymethyl-2-methylpentyl carbamate),Impurity
633,7466,1163173,Dantrolene Related Compound B (50 mg) (5-(4-nitrophenyl)-2-furaldehyde-(2-carboxymethyl) semicarbazone),Impurity
634,11936,1078700,Buprenorphine Hydrochloride CIII (50 mg),Active Pharmaceutical Ingredients
635,8979,1269607,Fenofibrate Related Compound A (25 mg) ((4-Chlorophenyl)(4-hydroxyphenyl)methanone),Impurity
636,14730,1623749,Sulbactam Related Compound A (15 mg) ((2S)-2-Amino-3-methyl-3-sulfinobutanoic acid),Impurity
637,14247,1250008,Estradiol (500 mg),Active Pharmaceutical Ingredients
638,12617,1012917,Alfuzosin Hydrochloride (150 mg),Active Pharmaceutical Ingredients
639,11130,1612700,Simvastatin (200 mg),Active Pharmaceutical Ingredients
640,12654,1338335,"Imiquimod Related Compound B (25 mg) (1-Isobutyl-1H-imidazo[4,5-c]quinoline 5-oxide)",Impurity
641,13265,1338346,"Imiquimod Related Compound C (25 mg) (4-Chloro-1-isobutyl-1H-imidazo[4,5-c]quinoline)",Impurity
642,16704,1338324,"Imiquimod Related Compound A (25 mg) (1-Isobutyl-1H-imidazo[4,5-c]quinoline)",Impurity
643,12913,1356971,Letrozole (200 mg),Active Pharmaceutical Ingredients
644,10879,1538006,Phytonadione (100 mg x 5 ampules) (Vitamin K1),Dietary Supplements
645,9150,1241007,Ergosterol (50 mg),Dietary Supplements
646,6896,1285308,Flurazepam Related Compound C (50 mg) (5-chloro-2-(2-diethylaminoethylamino)-2'-fluorobenzophenone hydrochloride),Impurity
647,11015,1098220,Cefuroxime Axetil (350 mg),Active Pharmaceutical Ingredients
648,11055,1485191,Oxycodone CII (200 mg),Active Pharmaceutical Ingredients
649,7077,1478301,Olanzapine (200 mg),Active Pharmaceutical Ingredients
650,10599,1478334,"Olanzapine Related Compound C (5 mg) (2-methyl-4-(4-methylpiperazin-1-yl)-10H-benzo[b]thieno[2,3-e][1,4]diazepine 4'-N-oxide) (COLD SHIPMENT REQUIRED)",Impurity
651,10504,1473002,"Noroxymorphone Hydrochloride CII (50 mg) (4,5alpha-Epoxy-3,14-dihydroxymorphinan-6-one hydrochloride)",Impurity
652,6886,1245008,Erythromycin Ethylsuccinate (200 mg),Product Specific Reference Standard
653,14634,1566045,Prochlorperazine Related Compound A (10 mg) (4-Chloro-10-[3-(4-methylpiperazin-1-yl)propyl]-10H-phenothiazine dihydrochloride),Impurity
654,8777,1096655,Carvedilol Related Compound C (20 mg) (1-(9H-Carbazol-4-yloxy)-3-(benzyl(2-(2-methoxyphenoxy)ethyl)amino)propan-2-ol),Impurity
655,15969,1279021,"Fluorouracil Related Compound B (25 mg) (Dihydropyrimidine-2,4,5(3H)-trione)",Impurity
656,15812,1672621,Tramadol Related Compound B (25 mg) (2-(dimethylaminomethyl)-1-cyclohexanone hydrochloride),Impurity
657,7279,1012076,"Acyclovir Related Compound A (50 mg) (2-[(2-amino-6-oxo-1,6-dihydro-9H-purin-9-yl)methoxy]ethyl acetate)",Impurity
658,6985,1140349,Clonazepam Related Compound C (25 mg) (2-bromo-2'-(2-chlorobenzoyl)-4'-nitroacetanilide),Impurity
659,13544,1612903,Sitagliptin Phosphate (200 mg),Active Pharmaceutical Ingredients
660,15906,1012225,Acyclovir Related Compound L,Impurity
661,9860,1672326,Torsemide Related Compound B (50 mg) (N-[(n-butylamino)carbonyl]-4-[(3-methylphenyl)amino]-3-pyridinesulfonamide),Impurity
662,4359,1283470,"Fosinopril Related Compound G (15 mg) ((4-phenylbutyl)phosphinyl acetic acid, disodium salt)",Impurity
663,3101,1283448,"Fosinopril Related Compound D (15 mg) ((4R)-4-cyclohexyl-1-[(R)-[(S)-1-hydroxy-2-methylpropoxy](4-phenylbutyl)phosphinyl]acetyl-L-proline propionate (ester), sodium salt)",Impurity
664,3100,1283437,"Fosinopril Related Compound C (15 mg) ((4S)-4-cyclohexyl-1-[(RS)-1-hydroxy-2-methylpropoxy](4-phenylbutyl)phosphinyl]-acetyl-L-proline propionate (ester), sodium salt)",Impurity
665,98727,1086066,Caffeine Related Compound F,Impurity
666,98721,1086063,Caffeine Related Compound C,Impurity
667,11114,1081002,Butalbital CIII (200 mg),Active Pharmaceutical Ingredients
668,13700,1494931,Pantoprazole Related Compounds D and F Mixture (20 mg),Impurity
669,9020,1270005,Fentanyl Citrate CII (100 mg),Active Pharmaceutical Ingredients
670,9169,1444300,Misoprostol (100 mg),Active Pharmaceutical Ingredients
671,11376,1012600,Albuterol (200 mg),Active Pharmaceutical Ingredients
672,4417,1358820,"Levalbuterol Related Compound D (30 mg) (5-[2-{(1,1-dimethylethyl)amino}-1-hydroxyethyl]-2-hydroxy-benzaldehyde sulfate (2:1))",Impurity
673,6362,1171900,Desflurane (0.5 mL),Active Pharmaceutical Ingredients
674,6259,1286708,Fumaric Acid (200 mg),Excipients
675,11744,1044006,Aspirin (500 mg),Active Pharmaceutical Ingredients
676,13121,1134018,Ciclopirox (50 mg),Active Pharmaceutical Ingredients
677,4740,1359437,Levetiracetam Related Compound B (20 mg) ((S)-2-aminobutanamide hydrochloride),Impurity
678,4597,1359415,Levetiracetam Racemic Mixture (15 mg) (1:1 mixture of levetiracetam S-enantiomer-(2S)-2-(2-oxopyrrolidin-1-yl)butanamide and levetiracetam R-enantiomer (2R)-2-(2-oxopyrrolidin-1-yl)butanamide),Impurity
679,9798,1617419,Sotalol Related Compound A (50 mg) (N-[4-[[(1-Methylethyl)amino]acetyl]phenyl]methanesulfonamide monohydrochloride),Impurity
680,9799,1617420,Sotalol Related Compound B (50 mg) (N-(4-Formylphenyl)methanesulfonamide),Impurity
681,7450,1604654,Risperidone (100 mg),Active Pharmaceutical Ingredients
682,17031,1445653,Moexipril Related Compound F (20 mg) ((S)-2-[(S)-1-ethoxy-1-oxo-4-phenylbutan-2-ylamino]propanoic acid),Impurity
683,14575,1235300,Enalapril Maleate (200 mg),Active Pharmaceutical Ingredients
684,16187,1270399,Fexofenadine Related Compound B (25 mg) (2-(3-{1-Hydroxy-4-[4-(hydroxydiphenylmethyl)piperidin-1-yl]butyl}phenyl)-2-methylpropanoic acid hydrochloride monohydrate),Impurity
685,11059,1713004,Vinblastine Sulfate (50 mg),Active Pharmaceutical Ingredients
686,6251,1356676,Anhydrous Lactose (100 mg) (Mixture of alpha and beta anomers),Excipients
687,8373,1479009,Orphenadrine Citrate (200 mg),Active Pharmaceutical Ingredients
688,15435,1231841,"Econazole Related Compound B (15 mg) (2-[(4-Chlorobenzyl)oxy]-2-(2,4-dichlorophenyl)ethanamine nitrate)",Impurity
689,13579,1380535,"Memantine Related Compound C (50 mg) (1-Chloro-3,5-dimethyladamantane)",Impurity
690,11634,1374361,Magnesium Sulfate (1 g) (Magnesium Sulfate (1:1) heptahydrate),Dietary Supplements
691,3639,1269174,"Famciclovir Related Compound A (20 mg) (2-[2-(2-Amino-9H-purin-9-yl)ethyl]propane-1,3-diol] hydrochloride)",Impurity
692,8320,1604202,"Rifampin Quinone (25 mg) (1,4-dideoxy-1,4-dihydro-3-[[[4-methyl-1-piperazinyl]imino]methyl]-1,4-dioxo-rifamycin)",Other Compendial Uses
693,15814,1048652,"Benazepril Related Compound D (15 mg) (3-(1-Ethoxycarbonyl-3-cyclohexyl-(1S)-propyl)amino-2,3,4,5-tetrahydro-2-oxo-1H-1-(3S)-benzazepine-1-acetic acid monohydrochloride)",Impurity
694,17635,1044488,Atomoxetine Related Compound B (10 mg) (N-Methyl-3-phenyl-3-(m-tolyloxy)propan-1-amine hydrochloride),Impurity
695,14337,1044913,Atomoxetine S-Isomer (10 mg) ((S)-N-Methyl-3-phenyl-3-(o-tolyloxy)propan-1-amine hydrochloride),Impurity
696,6426,1581005,Pseudoephedrine Hydrochloride (125 mg) (List Chemical),Active Pharmaceutical Ingredients
697,6469,1288500,Gemfibrozil (200 mg),Active Pharmaceutical Ingredients
698,7060,1444296,"Mirtazapine Resolution Mixture (25 mg) (This mixture contains mirtazapine, impurity A, impurity B, impurity C, impurity D, impurity E and impurity F)",System Suitability
699,61695,1162567,"Dalfampridine Related Compound C (25 mg) (1,3-Di(pyridin-4-yl)urea)",Impurity
700,59222,1162545,Dalfampridine Related Compound A (25 mg) (4-Aminopyridine 1-oxide),Impurity
701,14642,1162454,Dalfampridine (200 mg),Active Pharmaceutical Ingredients
702,89339,1220619,Dipyridinyl Hydrazine,Impurity
703,14349,1354262,Itraconazole System Suitability Mixture (25 mg),System Suitability
704,17985,1612685,"Sildenafil Related Compound A (10 mg) (1-{[3-(6,7-Dihydro-1-methyl-7-oxo-3-isobutyl-1H-pyrazolo[4,3-d]pyrimidin-5-yl)-4-ethoxyphenyl]sulfonyl}-4-methylpiperazine)",Impurity
705,7518,1724408,Ziprasidone Hydrochloride (200 mg),Active Pharmaceutical Ingredients
706,10460,1044651,Atovaquone (200 mg),Active Pharmaceutical Ingredients
707,6000,1651600,Delta-8-Tetrahydrocannabinol 1 mL (1 mg/mL),Active Pharmaceutical Ingredients
708,17315,1492255,"Palonosetron Related Compound D (15 mg) ((3aR)-2-[(3S)-Quinuclidin-3-yl]-2,3,3a,4,5,6-hexahydro-1H-benzo[de]isoquinolin-1-one hydrochloride)",Impurity
709,14805,1448661,"Moxifloxacin Related Compound F (25 mg) (1-Cyclopropyl-6-fluoro-8-methoxy-7-(1-methyloctahydro-6H-pyrrolo[3,4-b]pyridin-6-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid)",Impurity
710,10898,1612550,"Sevoflurane Related Compound A (0.2 mL) (1,1,1,3,3-Pentafluoroisopropenyl fluoromethyl ether)",Impurity
711,2683,1562011,Primidone Related Compound A (20 mg) (2-Ethyl-2-phenylmalonamide),Impurity
712,14447,1111908,P-Chloroaniline (200 mg),Impurity
713,17862,1544519,Piroxicam Related Compound A (50 mg) (Pyridin-2-amine),Impurity
714,11766,1604348,Riluzole Related Compound A (25 mg) (4-trifluoromethoxyaniline),Impurity
715,11632,1156000,Cyclopentolate Hydrochloride (300 mg),Active Pharmaceutical Ingredients
716,17652,1411038,Methimazole Related Compound C (3 x 50 mg) (1-Methyl-2-(methylthio)-1H-imidazole),Impurity
717,10871,1499414,Paricalcitol Solution (3 mL) (COLD SHIPMENT REQUIRED),Active Pharmaceutical Ingredients
718,6316,1098027,Cefpodoxime Proxetil (350 mg),Active Pharmaceutical Ingredients
719,9304,1302509,Halcinonide (200 mg),Active Pharmaceutical Ingredients
720,36532,1133864,Cidofovir Enantiomer (15 mg) (1-[(R)-3-Hydroxy-2-(phosphonomethoxy)propyl]cytosine dihydrate),Impurity
721,15578,1173315,Desonide Impurities Mixture (25 mg),Impurity
722,15330,1727086,Zolmitriptan Related Compound G (25 mg) ((S)-4-(4-Aminobenzyl)oxazolidin-2-one),Impurity
723,17628,1338845,Indapamide Related Compound D DISCONTINUED,Impurity
724,14279,1592792,"Quetiapine Related Compound H (15 mg) (4-(Dibenzo[b,f][1,4]thiazepin-11-yl)-1-[2-(2-hydroxyethoxy)ethyl]piperazine 1-oxide)",Impurity
725,11586,1150003,Cortisone Acetate (150 mg),Active Pharmaceutical Ingredients
726,11490,1347653,"Irinotecan Related Compound D (15 mg) ((R)-9-[(1,4'-Bipiperidine)-1'-carbonyloxy]-4,11-diethyl-3,4,12,14-tetrahydro-4-hydroxy-3,14-dioxo-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline hydrochloride, trihydrate)",Impurity
727,11230,1478108,Ofloxacin (200 mg),Active Pharmaceutical Ingredients
728,7726,1481226,"Oxaliplatin Related Compound B (15 mg) ([SP-4-2-(1R-trans)]-(1,2-cyclohexanediamine-N,N') dinitratoplatinum(II))",Impurity
729,17322,1427027,Methyldopa Related Compound B (10 mg) ((S)-2-Amino-3-(4-methoxyphenyl)-2-methylpropanoic acid hydrochloride),Impurity
730,6206,1387002,Mepivacaine Hydrochloride (200 mg),Active Pharmaceutical Ingredients
731,13216,1718063,"Voriconazole Related Compound F (50 mg) ({(1RS,4SR)-7,7-Dimethyl-2-oxobicyclo[2.2.1]hept-1-yl}methanesulfonic acid)",Impurity
732,17675,1718041,"Voriconazole Related Compound D (10 mg) ((2RS,3SR)-2-(2,4-difluorophenyl)-3-(pyrimidin-4-yl)-1-(1H-1,2,4-triazol-1-yl)butan-2-ol)",Impurity
733,16176,1173053,"Desloratadine Related Compound A (20 mg) (8-Bromo-6,11-dihydro-11-(piperidin-4-ylidene)-5H-benzo[5,6]cyclohepta[1,2-b]pyridine)",Impurity
734,54788,1653037,"Theophylline Related Compound C (25 mg) (N-(6-Amino-1,3-dimethyl-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)formamide)",Impurity
735,6851,1295800,Glycine (200 mg),Dietary Supplements
736,54514,1653026,"Theophylline Related Compound B (25 mg) (3-Methyl-1H-purine-2,6-dione)",Impurity
737,10943,1614501,Sodium Nitroprusside (500 mg),Active Pharmaceutical Ingredients
738,10713,1643306,Tamoxifen Citrate (200 mg),Active Pharmaceutical Ingredients
739,77901,1042373,Formoterol Related Compound C (30 mg) (N-(2-Hydroxy-5-(1-hydroxy-2-{[1-(4-methoxyphenyl)propan-2-yl]amino}ethyl)phenyl)acetamide fumarate),Impurity
740,11018,1158650,Cyclosporine Resolution Mixture (25 mg) (This material is an approximate 100:1 (w/w) mixture of cyclosporine and cyclosporine U),System Suitability
741,11017,1158504,Cyclosporine (50 mg),Active Pharmaceutical Ingredients
742,6782,1285807,Flurbiprofen Sodium (200 mg),Active Pharmaceutical Ingredients
743,4367,1012688,Alcohol Determination - Alcohol (5 mL/ampule; 5 ampules),General Chapters
744,3865,1471958,Deacetylnorgestimate (25 mg) ((E)- and (Z)-17-deacetyl norgestimate mixture),Impurity
745,7281,1157024,"Cyclophosphamide Related Compound B (25 mg) (3-(2-chloroethyl)-2-oxo-2-hydroxy-1,3,6,2-oxadiazaphosphonane)",Impurity
746,13363,1074051,Bisacodyl Related Compound C (20 mg) (4-[(4-Hydroxyphenyl)(pyridin-2-yl)methyl]phenyl acetate),Impurity
747,11979,1643419,Telmisartan (200 mg),Active Pharmaceutical Ingredients
748,19321,1235332,"Enalapril Related Compound D (25 mg) ((S)-Ethyl 2-[(3S,8aS)-3-methyl-1,4-dioxohexahydropyrrolo[1,2-a]pyrazin-2(1H)-yl]-4-phenylbutanoate)",Impurity
749,11812,1604916,"Rocuronium Peak Identification Mixture (25 mg) (rocuronium bromide spiked with rocuronium related compounds A, B, C, D, E, F, G, and H)",Other Compendial Uses
750,9749,1643383,Tazobactam (200 mg),Active Pharmaceutical Ingredients
751,11636,1200600,Dihydrocapsaicin (25 mg),Dietary Supplements
752,37624,1642031,Sulindac Related Compound C (20 mg) ((Z)-2-{5-fluoro-2-methyl-1-[4-(methylthio)benzylidene]-1H-inden-3-yl}acetic acid),Impurity
753,15599,1013545,Almotriptan Related Compound B (15 mg) (2-{5-[(pyrrolidin-1-ylsulfonyl)methyl]-1H-indol-3-yl}ethanamine hemifumarate),Impurity
754,16020,1712012,Vigabatrin Related Compound A (50 mg) (5-vinylpyrrolidin-2-one),Impurity
755,4587,1473206,Norphenylephrine Hydrochloride (25 mg),Active Pharmaceutical Ingredients
756,11383,1235820,Enoxaparin Sodium (300 mg),Product Specific Reference Standard
757,11933,1078518,"Bupivacaine Related Compound A (50 mg) (6-(butylamino)-N-(2,6-dimethylphenyl)hexanamide) (AS)",Impurity
758,13638,1448967,"Mycophenolate Mofetil Related Compound A (15 mg) (2-Morpholinoethyl (E)-6-(1,3-dihydro-4,6-dihydroxy-7-methyl-3-oxo-5-isobenzofuranyl)-4-methyl-4-hexenoate)",Impurity
759,10260,1667520,Tinidazole (200 mg),Active Pharmaceutical Ingredients
760,13546,1649991,Tetracaine (50 mg),Active Pharmaceutical Ingredients
761,16115,1510889,Perindopril Erbumine (100 mg),Active Pharmaceutical Ingredients
762,15207,1510970,"Perindopril Related Compound I (20 mg) (2-Methylpropan-2-amine (2S,3aS,7aS)-1-{(S)-2-[(R)-1-ethoxy-1-oxopentan-2-ylamino]propanoyl}octahydro-1H-indole-2-carboxylate)",Impurity
763,8363,1164008,Dapsone (200 mg),Active Pharmaceutical Ingredients
764,9394,1030001,Amobarbital CII (200 mg),Active Pharmaceutical Ingredients
765,39407,1018527,Amantadine Related Compound B (25 mg) (N-(Adamantan-1-yl)acetamide),Impurity
766,13596,1672756,Tranexamic Acid Related Compound C (15 mg) ((RS)-4-(Aminomethyl)cyclohex-1-enecarboxylic acid hydrochloride),Impurity
767,5151,1298106,Granisetron Hydrochloride (150 mg),Active Pharmaceutical Ingredients
768,3113,1298150,"Granisetron Related Compound E (15 mg) ((1R,3r,5S)-9-methyl-9-azabicyclo[3.3.1]nonan-3-amine acetate)",Impurity
769,11553,1699311,Trospium Chloride Related Compound A (20 mg) (Benzilic Acid) (International Restricted Sales Item),Impurity
770,13171,1235999,Ephedrine Hydrochloride (200 mg) (List Chemical),Active Pharmaceutical Ingredients
771,8477,1450007,Nafcillin Sodium (200 mg),Active Pharmaceutical Ingredients
772,10609,1494807,Pantolactone (500 mg),Dietary Supplements
773,11810,1656002,Thiamine Hydrochloride (500 mg) (Vitamin B1 Hydrochloride),Dietary Supplements
774,10382,1191204,Didanosine (200 mg),Active Pharmaceutical Ingredients
775,67443,1173279,Desogestrel Related Compound D (25 mg) (13-Ethyl-11-methylenegon-4-en-17-one),Impurity
776,10659,1020008,"Aminobutanol (500 mg) (1-Butanol, 2-amino-, (+/-)-)",Impurity
777,11513,1150502,Cromolyn Sodium (500 mg),Active Pharmaceutical Ingredients
778,14378,1096407,Carboplatin (100 mg),Active Pharmaceutical Ingredients
779,66001,1059069,"Benzphetamine Related Compound F (25 mg) ((1S,2S)-2-[Benzyl(methyl)amino]-1-cyclohexylpropan-1-ol hydrochloride)",Impurity
780,13105,1097691,"Cefepime Related Compound E (20 mg) (1-{[(6R,7R)-7-Amino-2-carboxy-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-en-3-yl]methyl}-1-methylpyrrolidin-1-ium chloride)",Impurity
781,86559,1048543,"Beclomethasone Dipropionate Related Compound H (25 mg) (9-Chloro-11Beta,17-dihydroxy-16Beta-methyl-3,20-dioxopregna-1,4-diene-17-yl propionate)",Impurity
782,14982,1000699,Acebutolol Related Compound I (20 mg) (N-{3-Acetyl-4-[3-(ethylamino)-2-hydroxypropoxy]phenyl}butyramide),Impurity
783,39588,1285818,"Fluticasone Propionate Related Compound J (15 mg) (6alpha, 9alpha-difluoro-11beta,17alpha-dihydroxy-16alpha-methyl-3-oxoandrosta-1,4-diene-17beta-carboxylic acid)",Impurity
784,17788,1699038,Tropicamide Related Compound C (25 mg) (3-hydroxy-2-phenylpropionic acid),Impurity
785,17050,1357158,Lacosamide S-Enantiomer (30 mg) ((S)-2-(Acetylamino)-N-benzyl-3-methoxypropanamide),Impurity
786,14326,1692006,Trimethobenzamide Hydrochloride (200 mg),Active Pharmaceutical Ingredients
787,88709,1256037,Ethacrynic Acid Related Compound C,Impurity
788,80103,1256015,"Ethacrynic Acid Related Compound A (25 mg) ((4-Butyryl-2,3-dichlorophenoxy)acetic acid)",Impurity
789,18061,1342060,Insulin Glargine for Peak Identification (3.2 mg) (Mixture of Insulin Glargine and 0A-Arg-Insulin Glargine) (COLD SHIPMENT REQUIRED),Product Specific Reference Standard
